# DataThief /Users/tim/Dropbox/work/Projects/20_greenedge/datathief/./Hamano+15_Fig12a/Figure.png Tuesday 21-Apr-2020 4:08:35 PM
# T_surf (K), OLR (W/m^2)
279.563, 222.9678
279.563, 223.3308
279.563, 223.6938
281.1697, 224.0563
281.1697, 224.4193
281.1697, 224.7822
281.1697, 225.1452
281.1697, 225.5082
281.1697, 225.8712
282.7763, 226.2337
282.7763, 226.5967
282.7763, 226.9596
282.7763, 227.3226
282.7763, 227.6856
282.7763, 228.0486
284.383, 228.4111
284.383, 228.774
284.383, 229.137
284.383, 229.5
284.383, 229.863
284.383, 230.226
284.383, 230.5889
285.9897, 230.9514
285.9897, 231.3144
285.9897, 231.6774
285.9897, 232.0404
285.9897, 232.4033
285.9897, 232.7663
287.5964, 233.1288
287.5964, 233.4918
287.5964, 233.8548
287.5964, 234.2178
287.5964, 234.5807
287.5964, 234.9437
289.2031, 235.3062
289.2031, 235.6692
289.2031, 236.0322
289.2031, 236.3951
289.2031, 236.7581
289.2031, 237.1211
290.8098, 237.4836
290.8098, 237.8466
290.8098, 238.2096
290.8098, 238.5725
290.8098, 238.9355
290.8098, 239.2985
292.4165, 239.661
292.4165, 240.024
292.4165, 240.387
292.4165, 240.7499
292.4165, 241.1129
292.4165, 241.4759
294.0231, 241.8384
294.0231, 242.2014
294.0231, 242.5643
294.0231, 242.9273
294.0231, 243.2903
295.6298, 243.6528
295.6298, 244.0158
295.6298, 244.3788
295.6298, 244.7417
295.6298, 245.1047
295.6298, 245.4677
297.2365, 245.8302
297.2365, 246.1932
297.2365, 246.5562
297.2365, 246.9191
297.2365, 247.2821
298.8432, 247.6446
298.8432, 248.0076
298.8432, 248.3706
298.8432, 248.7335
300.4499, 249.0961
300.4499, 249.459
300.4499, 249.822
302.0566, 250.1844
302.0566, 250.5474
302.0566, 250.9104
303.6632, 251.273
303.6632, 251.636
303.6632, 251.9989
305.2699, 252.3614
305.2699, 252.7244
305.2699, 253.0874
306.8766, 253.4499
306.8766, 253.8129
306.8766, 254.1759
308.4833, 254.5384
308.4833, 254.9013
308.4833, 255.2643
310.09, 255.6268
310.09, 255.9898
310.09, 256.3528
311.6966, 256.7153
311.6966, 257.0783
313.3033, 257.4408
313.3033, 257.8037
313.3033, 258.1667
314.91, 258.5292
314.91, 258.8921
314.91, 259.2551
314.91, 259.6181
316.5167, 259.9807
316.5167, 260.3437
316.5167, 260.7066
318.1234, 261.0691
318.1234, 261.4321
318.1234, 261.7951
319.7301, 262.1576
319.7301, 262.5206
319.7301, 262.8836
321.3368, 263.2461
321.3368, 263.609
321.3368, 263.972
322.9434, 264.3345
322.9434, 264.6975
324.5501, 265.06
324.5501, 265.423
324.5501, 265.786
324.5501, 266.149
326.1568, 266.5114
326.1568, 266.8744
326.1568, 267.2374
327.7635, 267.5998
327.7635, 267.9628
327.7635, 268.3259
327.7635, 268.6888
329.3702, 269.0514
329.3702, 269.4143
329.3702, 269.7772
329.3702, 270.1403
330.9769, 270.5028
330.9769, 270.8658
330.9769, 271.2288
330.9769, 271.5917
332.5835, 271.9542
332.5835, 272.3172
332.5835, 272.6802
332.5835, 273.0432
334.1902, 273.4057
334.1902, 273.7687
334.1902, 274.1316
335.7969, 274.4941
335.7969, 274.8571
335.7969, 275.2201
335.7969, 275.5831
337.4036, 275.9456
337.4036, 276.3086
337.4036, 276.6715
337.4036, 277.0345
339.0103, 277.397
339.0103, 277.76
339.0103, 278.123
339.0103, 278.4859
340.617, 278.8485
340.617, 279.2114
340.617, 279.5744
340.617, 279.9374
342.2237, 280.2999
342.2237, 280.6629
342.2237, 281.0259
343.8303, 281.3884
345.437, 281.7509
345.437, 282.1138
347.0437, 282.1134
347.0437, 282.4764
348.6503, 282.8389
350.257, 283.2014
351.8638, 283.5638
353.4704, 283.9264
353.4704, 284.2894
355.0771, 284.6519
356.6838, 285.0144
358.2905, 285.3769
359.8972, 285.3764
361.5039, 285.7389
363.1105, 286.1015
364.7172, 286.464
366.3239, 286.4635
367.9306, 286.826
369.5373, 287.1885
371.144, 287.551
372.7506, 287.9135
374.3573, 288.276
375.964, 288.2756
377.5707, 288.6381
379.1774, 288.6376
380.7841, 289.0001
382.3907, 288.9997
383.9973, 288.9992
385.604, 289.3617
387.2107, 289.3612
388.8175, 289.7238
390.4242, 289.7233
392.0308, 289.7227
393.6375, 289.7224
395.2442, 290.0849
396.8509, 290.0844
398.4576, 290.0839
400.0643, 290.4464
401.671, 290.446
403.2776, 290.4455
404.8843, 290.445
406.491, 290.8075
408.0977, 290.8071
409.7044, 290.8066
411.3111, 290.8062
412.9177, 291.1687
414.5244, 291.1682
416.1311, 291.1677
417.7378, 291.1673
419.3445, 291.1668
419.3445, 291.5298
420.9512, 291.5293
422.5577, 291.5288
424.1645, 291.5284
425.7711, 291.5279
427.3779, 291.5274
428.9846, 291.527
430.5913, 291.8895
432.1979, 291.889
433.8046, 291.8885
435.4113, 291.8881
437.018, 291.8876
438.6247, 291.8872
440.2314, 291.8867
441.838, 292.2492
443.4447, 292.2487
445.0514, 292.2483
446.6581, 292.2478
448.2648, 292.2473
449.8715, 292.2469
451.4781, 292.2464
453.0848, 292.2459
454.6915, 292.2455
456.2982, 292.245
457.9049, 292.2445
459.5116, 292.607
461.1183, 292.6066
462.7248, 292.6061
464.3316, 292.6056
465.9383, 292.6052
467.545, 292.6047
469.1517, 292.6042
470.7584, 292.6038
472.365, 292.6033
473.9717, 292.6028
475.5784, 292.6024
477.1851, 292.6019
478.7917, 292.6014
480.3985, 292.9639
482.0051, 292.9635
483.6118, 292.963
485.2185, 292.9625
486.8252, 292.9621
488.4319, 292.9616
490.0386, 292.9612
491.6452, 292.9607
493.2519, 292.9602
494.8586, 292.9598
496.4653, 292.9593
498.072, 292.9588
499.6787, 292.9584
501.2852, 292.9579
502.892, 292.9574
504.4987, 292.9569
506.1054, 292.9565
507.7121, 293.319
509.3188, 293.3185
510.9254, 293.3181
512.5321, 293.3176
514.1388, 293.3171
515.7455, 293.3167
517.3522, 293.3162
518.9588, 293.3157
520.5655, 293.3153
522.1722, 293.3148
523.7789, 293.3143
525.3856, 293.3139
526.9923, 293.3134
528.599, 293.3129
530.2057, 293.3125
531.8123, 293.312
533.419, 293.3115
535.0257, 293.3111
536.6324, 293.3106
538.2391, 293.3101
539.8458, 293.3096
541.4524, 293.3092
543.0591, 293.3087
