# DataThief /Users/tim/Dropbox/work/Projects/20_greenedge/datathief/./Hamano+15_Fig12a/Figure.png Tuesday 21-Apr-2020 4:19:10 PM
# T_surf (K), OLR (W/m^2)
1740.0386, 279.168
1741.6452, 279.1676
1743.2519, 279.1671
1744.8586, 279.1666
1746.4653, 279.1662
1748.072, 279.1657
1749.6787, 279.1652
1751.2852, 279.1648
1752.892, 279.1643
1754.4987, 279.1638
1756.1054, 279.1634
1757.7121, 279.1629
1759.3188, 279.1623
1760.9254, 279.162
1762.5321, 279.1615
1764.1388, 279.161
1765.7455, 279.1606
1767.3522, 279.1601
1768.9588, 279.1596
1770.5655, 279.1592
1772.1722, 279.1587
1773.7789, 279.1582
1775.3856, 279.1578
1776.9923, 279.1573
1778.599, 279.1568
1780.2057, 279.5194
1781.8123, 279.5189
1783.419, 279.5184
1785.0257, 279.518
1786.6324, 279.5175
1788.2391, 279.517
1789.8458, 279.5166
1791.4524, 279.8791
1793.0591, 279.8786
1794.6658, 279.878
1796.2725, 279.8777
1797.8792, 279.8772
1799.4859, 279.8767
1801.0925, 279.8763
1802.6992, 280.2388
1804.3059, 280.2383
1805.9125, 280.2378
1807.5192, 280.2374
1809.126, 280.2368
1810.7326, 280.2364
1812.3393, 280.236
1813.946, 280.2355
1815.5527, 280.5979
1817.1594, 280.5976
1818.7661, 280.5971
1820.3728, 280.5966
1821.9794, 280.5962
1823.5861, 280.5957
1825.1928, 280.5952
1826.7995, 280.9577
1828.4062, 280.9573
1830.0129, 280.9567
1831.6195, 280.9563
1833.2262, 281.3188
1834.8329, 281.3184
1836.4396, 281.3179
1838.0463, 281.3174
1839.653, 281.317
1841.2596, 281.6795
1842.8662, 281.679
1844.4729, 281.6785
1846.0796, 281.6781
1847.6864, 282.0406
1849.2931, 282.0401
1850.8997, 282.0397
1852.5064, 282.0392
1854.1131, 282.0387
1855.7198, 282.4012
1857.3265, 282.4008
1858.9332, 282.4003
1860.5398, 282.3998
1862.1465, 282.3994
1863.7532, 282.3989
1865.3599, 282.7614
1866.9666, 282.761
1868.5733, 282.7605
1870.1799, 282.76
1871.7866, 282.7596
1873.3933, 283.1221
1875.0, 283.1216
1876.6067, 283.1211
1878.2134, 283.4836
1879.8201, 283.4832
1881.4267, 283.4827
1881.4267, 283.8457
1883.0334, 283.8452
1884.6401, 284.2077
1886.2468, 284.2073
1887.8535, 284.2068
1889.4602, 284.5693
1891.0668, 284.5688
1892.6735, 284.5684
1894.2802, 284.9308
1895.8869, 284.9304
1897.4936, 284.9299
1899.1003, 285.2925
1900.7069, 285.292
1902.3136, 285.2915
1903.9203, 285.654
1905.527, 285.6536
1905.527, 286.0165
1907.1337, 286.0161
1908.7404, 286.0156
1910.347, 286.378
1911.9537, 286.3777
1913.5604, 286.3772
1915.1671, 286.7397
1916.7738, 286.7391
1918.3805, 287.1017
1919.987, 287.1013
1919.987, 287.4643
1921.5937, 287.4638
1923.2005, 287.8263
1924.8072, 288.1888
1926.4139, 288.1883
1926.4139, 288.5513
1928.0206, 288.9138
1929.6272, 288.9134
1931.2339, 289.2759
1932.8406, 289.6383
1934.4473, 290.0009
1936.054, 290.0004
1937.6606, 290.3629
1937.6606, 290.7259
1939.2674, 290.7254
1940.874, 291.0879
1942.4807, 291.0875
1944.0874, 291.45
1944.0874, 291.813
1945.6941, 291.8125
1947.3008, 292.175
1948.9075, 292.1745
1948.9075, 292.5375
1950.5141, 292.9
1952.1208, 292.8996
1953.7275, 293.2621
1955.3342, 293.6246
1956.9409, 293.987
1958.5476, 293.9866
1960.1542, 294.3491
1961.7609, 294.7116
1963.3676, 295.0742
1964.9743, 295.4367
1966.581, 295.7992
1968.1877, 295.7987
1969.7943, 295.7982
1971.401, 296.1608
1973.0077, 296.1602
1973.0077, 296.5232
1974.6143, 296.5228
1976.2211, 296.8853
1977.8277, 296.8848
1979.4344, 297.2474
1981.0411, 297.6099
1982.6478, 297.9724
1984.2545, 298.3349
1984.2545, 298.6979
1985.8612, 298.6974
1987.4679, 299.0599
1987.4679, 299.4229
1989.0746, 299.7854
1990.6812, 299.7849
1990.6812, 300.1479
1992.2879, 300.5104
1993.8946, 300.8729
1995.5013, 301.2354
1997.108, 301.5979
1997.108, 301.9609
1998.7147, 301.9604
2000.3213, 302.323
2000.3213, 302.6859
2001.928, 303.0484
2003.5347, 303.048
2003.5347, 303.411
2005.1414, 303.7734
