# DataThief /Users/tim/Dropbox/work/Projects/20_greenedge/datathief/./Hamano+15_Fig12a/Figure.png Tuesday 21-Apr-2020 4:05:37 PM
# T_surf (K), OLR (W/m^2)
592.8662, 282.042
594.4729, 282.0415
596.0796, 282.0411
597.6864, 282.0406
599.2931, 282.0401
600.8997, 282.0397
602.5064, 281.6762
604.1131, 281.6758
605.7198, 281.6753
607.3265, 281.6747
608.9332, 281.6743
610.5398, 281.6739
612.1465, 281.6734
613.7532, 281.673
615.3599, 281.6724
616.9666, 281.672
618.5733, 281.6716
620.1799, 281.6711
621.7866, 281.6705
623.3933, 281.6702
625.0, 281.6697
626.6067, 281.6692
628.2134, 281.6688
629.8201, 281.6683
631.4267, 281.6678
633.0334, 281.6674
634.6401, 281.6669
636.2468, 281.6663
637.8535, 281.666
639.4602, 281.6655
641.0668, 281.665
642.6735, 281.6646
644.2802, 281.6641
645.8869, 281.6636
647.4936, 281.6632
649.1003, 281.6627
650.7069, 281.6622
652.3136, 281.6618
653.9203, 281.6613
655.527, 281.6608
657.1337, 281.6604
658.7404, 281.6599
660.347, 281.6594
661.9537, 281.659
663.5604, 281.6585
665.1671, 281.658
666.7738, 281.6576
668.3805, 281.6571
669.987, 281.6566
671.5937, 281.6562
673.2005, 281.6557
674.8072, 281.6552
676.4139, 281.6548
678.0206, 281.6543
679.6272, 281.6538
681.2339, 281.6534
682.8406, 281.6529
684.4473, 281.6524
686.054, 281.652
687.6606, 281.6515
689.2674, 281.651
690.874, 281.6505
692.4807, 281.6501
694.0874, 281.6496
695.6941, 281.6492
697.3008, 281.6487
698.9075, 281.6482
700.5141, 281.6478
702.1208, 281.6473
703.7275, 281.6468
705.3342, 281.6463
706.9409, 281.6459
708.5476, 281.6454
710.1542, 281.645
711.7609, 281.6444
713.3676, 281.644
714.9743, 281.6436
716.581, 281.6431
718.1877, 281.6425
719.7943, 281.6421
721.401, 281.6417
723.0077, 281.6412
724.6143, 281.6408
726.2211, 281.6402
727.8277, 281.6398
729.4344, 281.6394
731.0411, 281.6389
732.6478, 281.6383
734.2545, 281.638
735.8612, 281.6375
737.4679, 281.637
739.0746, 281.6366
740.6812, 281.636
742.2879, 281.6356
743.8946, 281.6352
745.5013, 281.6347
747.108, 281.6341
748.7147, 281.6338
750.3213, 281.6333
751.928, 281.6328
753.5347, 281.6324
755.1414, 281.6319
756.7481, 281.6314
758.3548, 281.631
759.9614, 281.6305
761.5681, 281.63
763.1748, 281.6296
764.7814, 281.6291
766.3881, 281.6286
767.9949, 281.6282
769.6015, 281.6277
771.2082, 281.6272
772.8149, 281.6268
774.4216, 281.6263
776.0283, 281.6258
777.635, 281.6254
779.2416, 281.6249
780.8483, 281.6244
782.455, 281.624
784.0617, 281.6235
785.6684, 281.623
787.2751, 281.6226
788.8817, 281.6221
790.4884, 281.6216
792.0951, 281.6212
793.7018, 281.6207
795.3085, 281.6202
796.9152, 281.6198
798.5219, 281.6193
800.1285, 281.6188
801.7351, 281.6183
803.3418, 281.6179
804.9485, 281.6174
806.5553, 281.617
808.162, 281.6165
809.7686, 281.616
811.3753, 281.6156
812.982, 281.6151
814.5887, 281.6146
816.1954, 281.6141
817.8021, 281.6137
819.4087, 281.6132
821.0154, 281.6128
822.6221, 281.6122
824.2288, 281.6118
825.8355, 281.6114
827.4422, 281.6109
829.0488, 281.6104
830.6555, 281.6099
832.2622, 281.6095
833.8689, 281.609
835.4756, 281.6086
837.0823, 281.608
838.6888, 281.6076
840.2955, 281.6072
841.9022, 281.6067
843.509, 281.6061
845.1157, 281.6058
846.7224, 281.6053
848.329, 281.6048
849.9357, 281.6044
