   Temperature           BIR            BW1               BW2             BUV             BVIS1             BVIS2
   63.0000000      0.283397257       8.92467910E-19   9.40280326E-04   0.00000000       0.00000000       0.00000000    
   64.0000000      0.301678270       1.98971534E-18   1.14685984E-03   0.00000000       0.00000000       0.00000000    
   65.0000000      0.320809126       4.32905263E-18   1.39083073E-03   0.00000000       0.00000000       0.00000000    
   66.0000000      0.340812415       9.20192109E-18   1.67749322E-03   0.00000000       0.00000000       0.00000000    
   67.0000000      0.361710757       1.91293094E-17   2.01268005E-03   0.00000000       0.00000000       0.00000000    
   68.0000000      0.383526474       3.89296210E-17   2.40278617E-03   0.00000000       0.00000000       0.00000000    
   69.0000000      0.406281918       7.76285579E-17   2.85479520E-03   0.00000000       0.00000000       0.00000000    
   70.0000000      0.429999083       1.51810155E-16   3.37630929E-03   0.00000000       0.00000000       0.00000000    
   71.0000000      0.454699874       2.91389842E-16   3.97557393E-03   0.00000000       0.00000000       0.00000000    
   72.0000000      0.480405897       5.49387475E-16   4.66150558E-03   0.00000000       0.00000000       0.00000000    
   73.0000000      0.507138491       1.01819745E-15   5.44371502E-03   0.00000000       0.00000000       0.00000000    
   74.0000000      0.534918845       1.85624412E-15   6.33253483E-03   0.00000000       0.00000000       0.00000000    
   75.0000000      0.563767552       3.33098756E-15   7.33903982E-03   0.00000000       0.00000000       0.00000000    
   76.0000000      0.593705177       5.88729318E-15   8.47506989E-03   0.00000000       0.00000000       0.00000000    
   77.0000000      0.624751747       1.02546069E-14   9.75325145E-03   0.00000000       0.00000000       0.00000000    
   78.0000000      0.656926930       1.76127017E-14   1.11870188E-02   0.00000000       0.00000000       0.00000000    
   79.0000000      0.690250158       2.98446909E-14   1.27906306E-02   0.00000000       0.00000000       0.00000000    
   80.0000000      0.724740207       4.99184942E-14   1.45791881E-02   0.00000000       0.00000000       0.00000000    
   81.0000000      0.760415614       8.24550728E-14   1.65686514E-02   0.00000000       0.00000000       0.00000000    
   82.0000000      0.797294438       1.34565265E-13   1.87758561E-02   0.00000000       0.00000000       0.00000000    
   83.0000000      0.835394204       2.17068537E-13   2.12185234E-02   0.00000000       0.00000000       0.00000000    
   84.0000000      0.874732077       3.46249152E-13   2.39152759E-02   0.00000000       0.00000000       0.00000000    
   85.0000000      0.915324688       5.46361079E-13   2.68856492E-02   0.00000000       0.00000000       0.00000000    
   86.0000000      0.957188189       8.53165303E-13   3.01500987E-02   0.00000000       0.00000000       0.00000000    
   87.0000000       1.00033820       1.31887860E-12   3.37300114E-02   0.00000000       0.00000000       0.00000000    
   88.0000000       1.04478991       2.01903273E-12   3.76477130E-02   0.00000000       0.00000000       0.00000000    
   89.0000000       1.09055793       3.06189882E-12   4.19264697E-02   0.00000000       0.00000000       0.00000000    
   90.0000000       1.13765633       4.60132626E-12   4.65905033E-02   0.00000000       0.00000000       0.00000000    
