   Temperature           BIR            BW1               BW2             BSW
   83.0000000      0.835367739       2.16968343E-13   2.12162491E-02   0.00000000    
   84.0000000      0.874704421       3.46091238E-13   2.39127427E-02   0.00000000    
   85.0000000      0.915295839       5.46114803E-13   2.68828329E-02   0.00000000    
   86.0000000      0.957158148       8.52785236E-13   3.01469751E-02   0.00000000    
   87.0000000       1.00030696       1.31829779E-12   3.37265544E-02   0.00000000    
   88.0000000       1.04475737       2.01815366E-12   3.76438946E-02   0.00000000    
   89.0000000       1.09052408       3.06058087E-12   4.19222638E-02   0.00000000    
   90.0000000       1.13762116       4.59936776E-12   4.65858765E-02   0.00000000    
   91.0000000       1.18606222       6.85120276E-12   5.16599044E-02   0.00000000    
   92.0000000       1.23586047       1.01189179E-11   5.71704768E-02   0.00000000    
   93.0000000       1.28702831       1.48224072E-11   6.31446838E-02   0.00000000    
   94.0000000       1.33957767       2.15394490E-11   6.96105659E-02   0.00000000    
   95.0000000       1.39352036       3.10592281E-11   7.65971318E-02   0.00000000    
   96.0000000       1.44886708       4.44520046E-11   8.41343403E-02   0.00000000    
   97.0000000       1.50562835       6.31592348E-11   9.22531262E-02   0.00000000    
   98.0000000       1.56381404       8.91093518E-11  0.100985356       0.00000000    
   99.0000000       1.62343371       1.24865604E-10  0.110363856       0.00000000    
   100.000000       1.68449616       1.73813713E-10  0.120422401       0.00000000    
   101.000000       1.74700987       2.40398618E-10  0.131195694       0.00000000    
   102.000000       1.81098258       3.30421468E-10  0.142719388       0.00000000    
   103.000000       1.87642169       4.51410381E-10  0.155030072       0.00000000    
   104.000000       1.94333434       6.13080142E-10  0.168165222       0.00000000    
   105.000000       2.01172662       8.27900470E-10  0.182163239       0.00000000    
   106.000000       2.08160472       1.11179321E-09  0.197063446       0.00000000    
   107.000000       2.15297413       1.48498580E-09  0.212906063       0.00000000    
   108.000000       2.22583985       1.97304861E-09  0.229732156       0.00000000    
   109.000000       2.30020618       2.60815192E-09  0.247583702       0.00000000    
   110.000000       2.37607789       3.43058204E-09  0.266503513       0.00000000    
   111.000000       2.45345831       4.49056081E-09  0.286535293       0.00000000    
   112.000000       2.53235102       5.85042104E-09  0.307723582       0.00000000    
   113.000000       2.61275864       7.58719931E-09  0.330113679       0.00000000    
   114.000000       2.69468403       9.79570469E-09  0.353751779       0.00000000    
   115.000000       2.77812934       1.25921540E-08  0.378684849       0.00000000    
   116.000000       2.86309624       1.61184417E-08  0.404960662       0.00000000    
   117.000000       2.94958639       2.05471551E-08  0.432627738       0.00000000    
   118.000000       3.03760076       2.60874256E-08  0.461735398       0.00000000    
   119.000000       3.12714052       3.29917533E-08  0.492333680       0.00000000    
   120.000000       3.21820593       4.15639327E-08  0.524473369       0.00000000    
   121.000000       3.31079745       5.21681933E-08  0.558205962       0.00000000    
   122.000000       3.40491509       6.52397816E-08  0.593583703       0.00000000    
   123.000000       3.50055838       8.12971024E-08  0.630659461       0.00000000    
   124.000000       3.59772682       1.00955631E-07  0.669486880       0.00000000    
   125.000000       3.69641972       1.24943853E-07  0.710120082       0.00000000    
   126.000000       3.79663610       1.54121338E-07  0.752614021       0.00000000    
   127.000000       3.89837289       1.89499445E-07  0.797026396       0.00000000    
   128.000000       4.00163221       2.32264583E-07  0.843409300       0.00000000    
   129.000000       4.10641146       2.83804638E-07  0.891821265       0.00000000    
   130.000000       4.21270847       3.45738812E-07  0.942319691       0.00000000    
   131.000000       4.32052135       4.19950936E-07  0.994962394       0.00000000    
   132.000000       4.42984867       5.08627238E-07   1.04980779       0.00000000    
   133.000000       4.54068851       6.14298187E-07   1.10691488       0.00000000    
   134.000000       4.65303802       7.39885536E-07   1.16634309       0.00000000    
   135.000000       4.76689577       8.88754471E-07   1.22815228       0.00000000    
   136.000000       4.88225937       1.06477194E-06   1.29240310       0.00000000    
   137.000000       4.99912643       1.27237081E-06   1.35915637       0.00000000    
   138.000000       5.11749506       1.51662130E-06   1.42847335       0.00000000    
   139.000000       5.23736286       1.80331006E-06   1.50041592       0.00000000    
   140.000000       5.35872746       2.13902649E-06   1.57504630       0.00000000    
